,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
520,2012-07-24,10.119215300088294,-54.13193792928721,58.95098903878233,10.119215300088294,10.119215300088294,-5.243305602167617,-5.243305602167617,-5.243305602167617,-0.3374424043551396,-0.3374424043551396,-0.3374424043551396,-4.905863197812478,-4.905863197812478,-4.905863197812478,0.0,0.0,0.0,4.875909697920677
521,2012-07-25,10.13021906053843,-53.66325064858802,63.58658745853168,10.13021906053843,10.13021906053843,-5.318795153555439,-5.318795153555439,-5.318795153555439,-0.1796711260133016,-0.1796711260133016,-0.1796711260133016,-5.139124027542138,-5.139124027542138,-5.139124027542138,0.0,0.0,0.0,4.8114239069829905
522,2012-07-26,10.141222820988565,-52.377824261706955,60.789363947408944,10.141222820988565,10.141222820988565,-6.006568265364933,-6.006568265364933,-6.006568265364933,-0.656287781544917,-0.656287781544917,-0.656287781544917,-5.350280483820016,-5.350280483820016,-5.350280483820016,0.0,0.0,0.0,4.134654555623632
523,2012-07-27,10.152226581438699,-50.597789309856935,61.203959403651126,10.152226581438699,10.152226581438699,-6.587366024185165,-6.587366024185165,-6.587366024185165,-1.0535156581753617,-1.0535156581753617,-1.0535156581753617,-5.533850366009804,-5.533850366009804,-5.533850366009804,0.0,0.0,0.0,3.5648605572535335
524,2012-07-30,10.185237862789103,-55.960817847546075,65.82436030012245,10.185237862789103,10.185237862789103,-6.085673838487369,-6.085673838487369,-6.085673838487369,-0.21081261079939476,-0.21081261079939476,-0.21081261079939476,-5.874861227687974,-5.874861227687974,-5.874861227687974,0.0,0.0,0.0,4.099564024301734
525,2012-07-31,10.196241623239239,-50.12805002859766,58.612286984207806,10.196241623239239,10.196241623239239,-6.245409246300314,-6.245409246300314,-6.245409246300314,-0.3374424043527991,-0.3374424043527991,-0.3374424043527991,-5.907966841947515,-5.907966841947515,-5.907966841947515,0.0,0.0,0.0,3.9508323769389246
526,2012-08-01,10.20724538368937,-49.630878142590184,60.86344459523429,10.20724538368937,10.20724538368937,-6.0773203143179675,-6.0773203143179675,-6.0773203143179675,-0.17967112601431207,-0.17967112601431207,-0.17967112601431207,-5.897649188303655,-5.897649188303655,-5.897649188303655,0.0,0.0,0.0,4.129925069371403
527,2012-08-02,10.218249144139506,-50.72957662175253,63.96158590009498,10.218249144139506,10.218249144139506,-6.499663394966353,-6.499663394966353,-6.499663394966353,-0.6562877815451252,-0.6562877815451252,-0.6562877815451252,-5.843375613421228,-5.843375613421228,-5.843375613421228,0.0,0.0,0.0,3.718585749173153
528,2012-08-03,10.229252904589641,-49.32847646376305,60.06187478358435,10.229252904589641,10.229252904589641,-6.799015643822998,-6.799015643822998,-6.799015643822998,-1.0535156581773104,-1.0535156581773104,-1.0535156581773104,-5.745499985645688,-5.745499985645688,-5.745499985645688,0.0,0.0,0.0,3.430237260766643
529,2012-08-06,10.262264185940044,-51.897034104209034,61.563071104217606,10.262264185940044,10.262264185940044,-5.417003458297641,-5.417003458297641,-5.417003458297641,-0.21081261079901695,-0.21081261079901695,-0.21081261079901695,-5.2061908474986245,-5.2061908474986245,-5.2061908474986245,0.0,0.0,0.0,4.845260727642403
